Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Can be ignored
1513845000000,74.51000000,75.01900000,74.13000000,74.30300000,1834.92100000,1513846799999,136465.11114700,173,553.11000000,41203.11322300,0
1513846800000,74.30300000,75.54300000,74.30300000,75.29000000,724.14100000,1513848599999,54132.40821900,80,478.59200000,35792.11484400,0
1513848600000,75.29000000,75.37000000,72.61000000,72.85100000,6756.09800000,1513850399999,499012.79433800,324,3124.16700000,230269.31433600,0
1513850400000,72.61200000,72.86100000,71.00000000,71.30000000,8419.38100000,1513852199999,603881.04453900,520,5168.99300000,371242.70493600,0
1513852200000,71.30000000,71.99600000,71.09900000,71.92700000,6247.83600000,1513853999999,446414.96300400,388,5109.23700000,365098.99952500,0
1513854000000,71.88800000,73.00000000,71.60400000,73.00000000,3568.07400000,1513855799999,258402.88919800,232,2287.68400000,165792.81975600,0
1513855800000,73.21100000,74.70000000,72.05300000,73.72100000,2135.49200000,1513857599999,156567.60376700,190,1848.54800000,135594.99909500,0
1513857600000,73.72100000,75.50000000,73.72100000,75.50000000,4431.37900000,1513859399999,330171.74772700,312,3727.29400000,277757.05855600,0
1513859400000,75.60000000,77.50000000,75.10800000,75.87200000,3143.95100000,1513861199999,240115.99890500,359,2312.44100000,176597.44764300,0
1513861200000,75.68100000,76.92000000,75.21300000,75.60000000,573.57200000,1513862999999,43571.75510400,113,319.65800000,24356.74051600,0
1513863000000,75.60000000,75.72200000,72.86100000,73.00000000,3773.73300000,1513864799999,280065.66478700,283,1783.92400000,132617.07819400,0
1513864800000,72.03700000,73.50000000,72.03700000,72.83900000,2233.54300000,1513866599999,163029.03520200,176,2054.27600000,149981.03661100,0
1513866600000,72.83900000,73.49000000,69.50000000,70.00000000,9868.09500000,1513868399999,703706.95193700,390,5476.13200000,390725.62865500,0
1513868400000,70.10100000,71.66200000,64.50000000,68.28000000,10874.72500000,1513870199999,735311.34910400,747,3594.32000000,244580.43734600,0
1513870200000,68.38600000,68.38600000,62.29400000,63.12000000,7202.72000000,1513871999999,466181.02403700,577,2657.10200000,171619.17848600,0
1513872000000,63.13600000,69.31100000,62.22000000,68.59600000,9940.14200000,1513873799999,654608.21475700,667,5480.69400000,357427.02693400,0
1513873800000,68.13500000,68.88800000,66.20000000,68.70000000,5561.86000000,1513875599999,377014.59061900,366,2947.73800000,199569.84674200,0
1513875600000,68.13600000,68.95700000,65.50000000,66.67900000,2671.13700000,1513877399999,178801.64195400,286,1074.74600000,72279.07147000,0
1513877400000,66.53000000,66.72700000,64.00000000,66.44600000,3919.03800000,1513879199999,254833.82675300,268,1264.77300000,82887.72515400,0
1513879200000,66.39200000,67.17200000,65.00000000,66.88900000,1473.40500000,1513880999999,97329.19427200,183,379.54100000,25221.21440300,0
1513881000000,66.02000000,67.18100000,66.00000000,66.20000000,1371.00000000,1513882799999,90784.47054500,113,189.32400000,12576.14328000,0
1513882800000,66.20600000,66.20600000,64.87700000,66.20000000,1495.78900000,1513884599999,97945.89233100,168,888.47900000,58193.91646200,0
1513884600000,66.26100000,66.62000000,65.00100000,66.01300000,908.73200000,1513886399999,59984.21916000,137,592.12000000,39117.00717500,0
1513886400000,66.01300000,68.50000000,66.01200000,66.32600000,1568.52100000,1513888199999,104423.07850600,137,683.68800000,45506.78196000,0
1513888200000,67.05900000,67.06200000,65.77900000,65.98000000,1775.45900000,1513889999999,117453.90265400,117,552.60900000,36529.04700200,0
